2026-05-02 16:57:04 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: BIOUSDT: 1.133% | BSBUSDT: 0.992% | BTRUSDT: 0.724% | AXLUSDT: 0.695% | COLLECTUSDT: 0.685% | ORDIUSDT: 0.678% | SCRUSDT: 0.673% | FHEUSDT: 0.659% | JCTUSDT: 0.650% | XNYUSDT: 0.615%
2026-05-02 16:58:04 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: XNYUSDT: 2.391% | BTRUSDT: 1.141% | TRIAUSDT: 1.024% | JCTUSDT: 0.905% | ORDIUSDT: 0.891% | BIOUSDT: 0.851% | UAIUSDT: 0.754% | ALLOUSDT: 0.722% | BSBUSDT: 0.628% | COLLECTUSDT: 0.620%
2026-05-02 16:59:04 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: ACHUSDT: 1.200% | BIOUSDT: 1.147% | BTRUSDT: 1.071% | TRIAUSDT: 1.024% | XNYUSDT: 0.906% | JCTUSDT: 0.877% | ACTUSDT: 0.785% | COLLECTUSDT: 0.585% | MINAUSDT: 0.571% | BLUAIUSDT: 0.540%
2026-05-02 17:00:04 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: HANAUSDT: 1.092% | BUSDT: 0.823% | BTRUSDT: 0.758% | AIXBTUSDT: 0.673% | JCTUSDT: 0.649% | TRIAUSDT: 0.619% | KGENUSDT: 0.608% | BIOUSDT: 0.603% | CFXUSDT: 0.602% | ORCAUSDT: 0.595%
2026-05-02 17:01:04 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: MONUSDT: 1.372% | COLLECTUSDT: 1.320% | BSBUSDT: 0.989% | XPINUSDT: 0.877% | BTRUSDT: 0.861% | BUSDT: 0.804% | FHEUSDT: 0.696% | USTCUSDT: 0.649% | ORDIUSDT: 0.613% | BLESSUSDT: 0.605%
2026-05-02 17:02:04 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: XNYUSDT: 4.302% | COLLECTUSDT: 1.288% | TACUSDT: 0.978% | BTRUSDT: 0.895% | JCTUSDT: 0.820% | FHEUSDT: 0.796% | ATUSDT: 0.738% | BUSDT: 0.704% | BSBUSDT: 0.687% | GWEIUSDT: 0.680%
2026-05-02 17:03:04 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: COLLECTUSDT: 1.256% | BSBUSDT: 1.002% | BTRUSDT: 0.861% | INXUSDT: 0.829% | PNUTUSDT: 0.798% | FHEUSDT: 0.746% | TRIAUSDT: 0.724% | BEATUSDT: 0.693% | BASUSDT: 0.686% | JCTUSDT: 0.676%
2026-05-02 17:04:04 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: COLLECTUSDT: 1.771% | TRIAUSDT: 1.207% | AIAUSDT: 1.056% | XNYUSDT: 0.930% | BTRUSDT: 0.887% | JCTUSDT: 0.881% | NILUSDT: 0.810% | GWEIUSDT: 0.789% | KNCUSDT: 0.713% | BLUAIUSDT: 0.708%
2026-05-02 17:05:04 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: COLLECTUSDT: 1.836% | TACUSDT: 1.239% | BTRUSDT: 0.887% | XPINUSDT: 0.728% | GWEIUSDT: 0.688% | ATUSDT: 0.673% | LYNUSDT: 0.635% | ORDIUSDT: 0.611% | YBUSDT: 0.609% | XNYUSDT: 0.593%
2026-05-02 17:06:04 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: BUSDT: 1.919% | COLLECTUSDT: 1.836% | KNCUSDT: 1.773% | BLESSUSDT: 0.930% | FHEUSDT: 0.887% | ORDIUSDT: 0.770% | XNYUSDT: 0.757% | GWEIUSDT: 0.715% | TACUSDT: 0.673% | JCTUSDT: 0.654%
2026-05-02 17:07:04 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: ICNTUSDT: 1.114% | JCTUSDT: 0.881% | FHEUSDT: 0.840% | ORDIUSDT: 0.813% | MITOUSDT: 0.785% | BSBUSDT: 0.665% | BUSDT: 0.659% | TACUSDT: 0.600% | PNUTUSDT: 0.567% | PIEVERSEUSDT: 0.563%
2026-05-02 17:08:04 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: TRIAUSDT: 1.309% | ICNTUSDT: 1.114% | ORDIUSDT: 1.029% | JCTUSDT: 0.964% | XNYUSDT: 0.884% | PIEVERSEUSDT: 0.737% | BLUAIUSDT: 0.685% | ACHUSDT: 0.659% | TACUSDT: 0.638% | BSBUSDT: 0.601%
2026-05-02 17:09:04 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: XNYUSDT: 0.859% | TACUSDT: 0.823% | FHEUSDT: 0.753% | PIEVERSEUSDT: 0.697% | C98USDT: 0.631% | BTRUSDT: 0.617% | JCTUSDT: 0.596% | GWEIUSDT: 0.591% | COLLECTUSDT: 0.590% | UAIUSDT: 0.579%
2026-05-02 18:01:09 | INFO | signal_engine | ✅ DEX Filter OK: APRUSDT | DEX: 0.172$ | Phemex: 0.17107$ | Spread: 0.54%
2026-05-02 18:01:49 | INFO | signal_engine | ✅ DEX Filter OK: ORDIUSDT | DEX: 5.9$ | Phemex: 5.57$ | Spread: 5.92%
2026-05-02 18:01:58 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: LABUSDT: 3.891% | ORDIUSDT: 1.795% | APRUSDT: 1.309% | BUSDT: 1.005% | COLLECTUSDT: 0.826% | LQTYUSDT: 0.781% | BSBUSDT: 0.739% | FORMUSDT: 0.731% | PNUTUSDT: 0.606% | C98USDT: 0.594%
